ppg,timer
1858065,10:55:00
1858163,10:55:00
1858058,10:55:00
1858162,10:55:00
1858082,10:55:00
1858030,10:55:00
1858149,10:55:00
1858221,10:55:00
1858071,10:55:00
1858088,10:55:00
1858133,10:55:01
1858119,10:55:01
1858112,10:55:01
1858070,10:55:01
1858161,10:55:01
1858076,10:55:01
1858088,10:55:01
1858097,10:55:01
1858057,10:55:01
1858074,10:55:01
1858192,10:55:02
1858089,10:55:02
1858047,10:55:02
1858088,10:55:02
1858099,10:55:02
1858165,10:55:02
1858168,10:55:02
1858123,10:55:02
1858076,10:55:02
1858164,10:55:02
1858158,10:55:03
1858197,10:55:03
1858050,10:55:03
1858097,10:55:03
1858180,10:55:03
1858100,10:55:03
1858095,10:55:03
1858134,10:55:03
1858099,10:55:03
1858240,10:55:03
1858097,10:55:04
1858181,10:55:04
1858036,10:55:04
1858149,10:55:04
1858050,10:55:04
1858150,10:55:04
1858177,10:55:04
1858136,10:55:04
1858129,10:55:04
1858200,10:55:04
1858146,10:55:05
1858073,10:55:05
1858052,10:55:05
1858161,10:55:05
1858166,10:55:05
1858083,10:55:05
1858170,10:55:05
1858143,10:55:05
1858250,10:55:05
1858121,10:55:05
1858145,10:55:06
1858148,10:55:06
1858229,10:55:06
1858157,10:55:06
1858155,10:55:06
1858102,10:55:06
1858151,10:55:06
1858179,10:55:06
1858109,10:55:06
1858186,10:55:06
1858090,10:55:07
1858066,10:55:07
1858117,10:55:07
1858139,10:55:07
1858177,10:55:07
1858133,10:55:07
1858054,10:55:07
1858144,10:55:07
1858146,10:55:07
1858135,10:55:07
1858132,10:55:08
1858154,10:55:08
1858116,10:55:08
1858076,10:55:08
1858175,10:55:08
1858125,10:55:08
1858219,10:55:08
1858186,10:55:08
1858085,10:55:08
1858123,10:55:08
1858128,10:55:09
1858138,10:55:09
1858190,10:55:09
1858150,10:55:09
1858193,10:55:09
1858110,10:55:09
1858141,10:55:09
1858181,10:55:09
1858148,10:55:09
1858093,10:55:09
1858152,10:55:10
1858248,10:55:10
1858107,10:55:10
1858203,10:55:10
1858055,10:55:10
1858140,10:55:10
1858207,10:55:10
1858093,10:55:10
1858103,10:55:10
1858148,10:55:10
1858148,10:55:11
1858123,10:55:11
1858201,10:55:11
1858168,10:55:11
1858151,10:55:11
1858110,10:55:11
1858090,10:55:11
1858139,10:55:11
1858067,10:55:11
1858112,10:55:11
1858146,10:55:12
1858217,10:55:12
1858191,10:55:12
1858076,10:55:12
1858263,10:55:12
1858189,10:55:12
1858141,10:55:12
1858187,10:55:12
1858225,10:55:12
1858101,10:55:12
1858168,10:55:13
1858095,10:55:13
1858256,10:55:13
1858160,10:55:13
1858197,10:55:13
1858139,10:55:13
1858160,10:55:13
1858152,10:55:13
1858260,10:55:13
1858143,10:55:13
1858116,10:55:14
1858258,10:55:14
1858152,10:55:14
1858275,10:55:14
1858155,10:55:14
1858163,10:55:14
1858252,10:55:14
1858218,10:55:14
1858234,10:55:14
1858038,10:55:14
1858153,10:55:15
1858173,10:55:15
1858171,10:55:15
1858118,10:55:15
1858167,10:55:15
1858172,10:55:15
1858195,10:55:15
1858155,10:55:15
1858203,10:55:15
1858200,10:55:15
1858142,10:55:16
1858146,10:55:16
1858145,10:55:16
1858162,10:55:16
1858072,10:55:16
1858152,10:55:16
1858054,10:55:16
1858164,10:55:16
1858149,10:55:16
1858109,10:55:16
1858078,10:55:17
1858206,10:55:17
1858178,10:55:17
1858128,10:55:17
1858127,10:55:17
1858200,10:55:17
1858135,10:55:17
1858178,10:55:17
1858188,10:55:17
1858129,10:55:17
1858072,10:55:18
1858118,10:55:18
1858215,10:55:18
1858204,10:55:18
1858169,10:55:18
1858117,10:55:18
1858268,10:55:18
1858164,10:55:18
1858247,10:55:18
1858177,10:55:18
1858108,10:55:19
1858099,10:55:19
1858276,10:55:19
1858170,10:55:19
1858202,10:55:19
1858161,10:55:19
1858195,10:55:19
1858175,10:55:19
1858264,10:55:19
1858199,10:55:19
1858248,10:55:20
1858112,10:55:20
1858136,10:55:20
1858167,10:55:20
1858148,10:55:20
1858194,10:55:20
1858186,10:55:20
1858128,10:55:20
1858105,10:55:20
1858206,10:55:20
1858220,10:55:21
1858217,10:55:21
1858155,10:55:21
1858179,10:55:21
1858220,10:55:21
1858216,10:55:21
1858220,10:55:21
1858225,10:55:21
1858182,10:55:21
1858138,10:55:21
1858273,10:55:22
1858138,10:55:22
1858199,10:55:22
1858246,10:55:22
1858179,10:55:22
1858223,10:55:22
1858194,10:55:22
1858171,10:55:22
1858204,10:55:22
1858205,10:55:22
1858162,10:55:23
1858165,10:55:23
1858151,10:55:23
1858191,10:55:23
1858168,10:55:23
1858205,10:55:23
1858182,10:55:23
