time,heartRate
13:00,62
13:01,69
13:02,69
13:03,69
13:04,70
13:05,75
13:06,67
13:07,83
13:08,81
13:09,80
13:10,80
13:11,81
13:12,90
13:13,83
13:14,57
13:15,71
13:16,88
13:17,89
13:18,93
13:19,83
13:20,97
13:21,95
13:22,83
13:23,80
13:24,91
13:25,84
13:26,91
13:27,66
13:28,73
13:29,79
13:30,78
13:31,90
13:32,75
13:33,77
13:34,78
13:35,90
13:36,93
13:37,91
13:38,76
13:39,82
13:40,80
13:41,67
13:42,50
13:43,77
13:44,88
13:45,70
13:46,70
13:47,83
13:48,62
13:49,69
13:50,88
13:51,90
13:52,83
13:53,85
13:54,80
13:55,81
13:56,74
13:57,56
13:58,73
13:59,77
14:00,67
14:01,81
14:02,78
14:03,79
14:04,56
14:05,62
14:06,72
14:07,73
14:08,74
14:09,79
14:10,91
14:11,84
14:12,75
14:13,75
14:14,72
14:15,88
14:16,83
14:17,84
14:18,91
14:19,87
14:20,92
14:21,94
14:22,77
14:23,95
14:24,94
14:25,92
14:26,82
14:27,81
14:28,84
14:29,85
14:30,77
14:31,84
14:32,96
14:33,95
14:34,93
14:35,87
14:36,82
14:37,95
14:38,83
14:39,90
14:40,93
14:41,83
14:42,92
14:43,96
14:44,95
14:45,100
14:46,106
14:47,101
14:48,96
14:49,99
14:50,100
14:51,99
14:52,91
14:53,93
14:54,87
14:55,70
14:56,82
14:57,82
14:58,82
14:59,81
15:00,81
