ppg,timer
2653440,10:48:00.003
2650560,10:48:00.103
2650767,10:48:00.205
2653281,10:48:00.316
2655284,10:48:00.403
2657600,10:48:00.504
2661857,10:48:00.604
2658077,10:48:00.703
2655382,10:48:00.810
2662347,10:48:00.904
2675967,10:48:01.004
2685597,10:48:01.105
2687903,10:48:01.215
2685354,10:48:01.304
2679560,10:48:01.408
2675562,10:48:01.505
2674827,10:48:01.608
2675274,10:48:01.705
2676406,10:48:01.804
2682012,10:48:01.904
2689020,10:48:02.006
2685956,10:48:02.106
2683111,10:48:02.205
2683814,10:48:02.307
2686732,10:48:02.406
2688613,10:48:02.506
2691253,10:48:02.607
2695102,10:48:02.706
2697451,10:48:02.806
2698450,10:48:02.908
2699126,10:48:03.007
2698219,10:48:03.108
2700369,10:48:03.209
2702274,10:48:03.307
2703249,10:48:03.407
2698239,10:48:03.509
2696069,10:48:03.607
2697378,10:48:03.707
2702590,10:48:03.808
2714103,10:48:03.908
2716283,10:48:04.012
2713587,10:48:04.110
2708058,10:48:04.209
2706430,10:48:04.309
2705850,10:48:04.408
2703245,10:48:04.511
2703870,10:48:04.610
2712826,10:48:04.711
2713570,10:48:04.810
2707280,10:48:04.911
2705328,10:48:05.023
2705029,10:48:05.113
2702284,10:48:05.212
2702970,10:48:05.311
2703104,10:48:05.412
2705962,10:48:05.513
2717284,10:48:05.612
2726875,10:48:05.713
2745080,10:48:05.822
2737442,10:48:05.912
2731518,10:48:06.013
2722729,10:48:06.113
2713719,10:48:06.213
2709391,10:48:06.313
2707276,10:48:06.412
2707556,10:48:06.512
2708001,10:48:06.612
2706514,10:48:06.712
2700787,10:48:06.813
2707456,10:48:06.915
2708019,10:48:07.014
2703844,10:48:07.113
2710698,10:48:07.213
2717965,10:48:07.313
2719983,10:48:07.414
2720333,10:48:07.514
2716846,10:48:07.614
2718017,10:48:07.714
2720505,10:48:07.814
2725022,10:48:07.914
2729372,10:48:08.015
2731586,10:48:08.115
2732592,10:48:08.216
2735501,10:48:08.315
2738244,10:48:08.415
2741533,10:48:08.516
2741165,10:48:08.615
2737634,10:48:08.717
2733001,10:48:08.817
2729784,10:48:08.917
2729550,10:48:09.017
2729987,10:48:09.123
2730459,10:48:09.245
2731763,10:48:09.317
2732326,10:48:09.416
2727768,10:48:09.517
2725720,10:48:09.617
2725369,10:48:09.717
2725407,10:48:09.817
2726106,10:48:09.917
2727760,10:48:10.017
2725883,10:48:10.118
2721279,10:48:10.219
2719920,10:48:10.320
2719660,10:48:10.419
2719603,10:48:10.519
2720118,10:48:10.619
2721753,10:48:10.721
2717529,10:48:10.819
2712530,10:48:10.920
